plot_id,event_id,date_utc,component,diagnostic,E_bol_erg,mass_g,mass_err_low_g,mass_err_upp_g,mass_min_g,mass_max_g,E_kin_erg,E_kin_err_low_erg,E_kin_err_upp_erg,E_kin_min_erg,E_kin_max_erg,velocity_plot_km_s,velocity_plot_err_low_km_s,velocity_plot_err_upp_km_s,length_cm,length_err_low_cm,length_err_upp_cm,length_min_cm,length_max_cm,use_mass_plot,use_kinetic_plot,use_velocity_length_plot,use_mass_loss,reference,notes
EK2,EK2,2020-04-05,cool filament,Halpha absorption,2.0495598517501842e+33,1.0630158429673628e+18,8.9840048934880589e+17,4.1980681859667231e+18,1.6461535361855686e+17,5.2610840289340856e+18,3.5339588014484723e+32,2.9867008451136553e+32,1.3956330108368308e+33,5.4725795633481702e+31,1.7490288909816780e+33,5.1000000000000000e+02,2.2000000000000000e+02,2.2000000000000000e+02,3.9938406288410210e+10,2.6046308138858307e+10,3.5687554587265247e+11,1.3892098149551901e+10,3.9681395216106268e+11,True,True,True,True,"Namekata et al., Nature Astronomy, doi:10.1038/s41550-021-01532-8","Velocity x-error is the line-profile width/dispersion, not measurement uncertainty."
EK6,EK6,2022-04-10,prominence eruption,Halpha blue emission,1.5088481132099503e+33,1.3153549315380602e+20,9.0555645365184414e+19,2.9066192564722139e+20,4.0979847788621611e+19,4.2219741880102742e+20,5.8145922952584185e+34,4.0030576174360835e+34,1.2848855870537374e+35,1.8115346778223350e+34,1.8663448165795791e+35,5.1000000000000000e+02,1.8000000000000000e+02,1.8000000000000000e+02,4.9668036019289612e+11,4.1329746175145667e+11,2.4618565198197222e+12,8.3382898441439484e+10,2.9585368800126182e+12,True,True,True,True,"Namekata et al. 2024, ApJ 961, 23; compiled in Namekata et al. 2025, ApJ 993, 80",Velocity is the midpoint of the 330--690 km/s range obtained with two fitting methods.
EK6_dimming,EK6,2022-04-10,coronal dimming,X-ray dimming upper limit,1.5088481132099503e+33,1.1100000000000000e+18,9.9000000000000000e+17,9.9000000000000000e+17,1.2000000000000000e+17,2.1000000000000000e+18,,,,,,,,,,,,,,True,False,False,False,"Namekata et al. 2024, ApJ 961, 23",Dimming-based upper-limit range; not added to the mass-loss sum.
EK7,EK7,2022-04-16,prominence eruption,Halpha blue emission,1.2245204703768380e+34,1.6554199496874145e+18,1.1396743061513912e+18,3.6580814713511219e+18,5.1574564353602330e+17,5.3135014210385367e+18,1.2051730274053684e+33,8.2970169200000003e+32,2.6631436499999992e+33,3.7547133540536839e+32,3.8683166774053679e+33,4.3000000000000000e+02,5.5000000000000000e+01,5.5000000000000000e+01,8.6302440743925339e+10,7.1813952314456726e+10,4.2776852770919537e+11,1.4488488429468611e+10,5.1407096845312073e+11,True,True,True,True,"Namekata et al. 2024, ApJ 961, 23; compiled in Namekata et al. 2025, ApJ 993, 80",Velocity x-error is velocity dispersion.
EK9,EK9,2023-03-08,cool filament,Halpha absorption,2.3000000000000001e+33,3.4003899460186656e+17,2.8795322332462826e+17,1.3815100910160448e+18,5.2085771277238304e+16,1.7215490856179113e+18,1.0341836478228276e+32,8.7577166039112464e+31,4.2016803017073053e+32,1.5841198743170301e+31,5.2358639495301332e+32,4.8000000000000000e+02,1.1000000000000000e+02,1.1000000000000000e+02,2.5315489259282524e+10,1.6549841504266438e+10,2.2850378758605838e+11,8.7656477550160866e+09,2.5381927684534091e+11,True,True,True,True,"Namekata et al. 2025, ApJ 993, 80",E_bol=2.3e33 erg is the notebook plot value; the paper reports only an order estimate of about 1e33 erg.
MT2024_warm,2024-03-29,2024-03-29,warm FUV plasma,FUV blue emission,2.3000000000000000e+32,5.5136195008360888e+16,1.5136195008360888e+16,2.0863804991639112e+16,4.0000000000000000e+16,7.6000000000000000e+16,2.3216373532487800e+31,1.2216373532487799e+31,2.5783626467512200e+31,1.1000000000000001e+31,4.9000000000000000e+31,,,,,,,,,True,True,False,False,"Namekata et al. 2025, Nature Astronomy, doi:10.1038/s41550-025-02691-8",Central mass and kinetic energy are geometric means of the published ranges.
MT2024_cool,2024-03-29,2024-03-29,cool filament,Halpha absorption,2.3000000000000000e+32,5.3693575034635200e+16,4.4393575034635200e+16,2.5630642496536480e+17,9.3000000000000000e+15,3.1000000000000000e+17,1.3076696830622021e+30,1.1176696830622021e+30,7.6923303169377981e+30,1.8999999999999999e+29,8.9999999999999999e+30,7.0000000000000000e+01,5.1262565969999997e+01,5.1262565969999997e+01,2.2449944320643650e+10,1.8849944320643650e+10,1.1755005567935635e+11,3.6000000000000000e+09,1.4000000000000000e+11,True,True,True,False,"Namekata et al. 2025, Nature Astronomy, doi:10.1038/s41550-025-02691-8","Central mass, kinetic energy, and length are geometric means; velocity x-error is line dispersion."
