flarenumber	peaktime	starttime	endtime	energy	peakflux	count	duration	edecay	flag
50	2460991.574	2460991.574	2460991.574	1.669920255e+32	0.0007201208939	0.0007201208939	0.002314788755	0	3
51	2460991.59	2460991.59	2460991.59	1.6375745e+32	0.0007061724113	0.0007061724113	0.002314788755	0	3
52	2460991.606	2460991.606	2460991.606	9.378121685e+31	0.0004044134055	0.0004044134055	0.002314788755	0	3
53	2460991.627	2460991.627	2460991.627	3.659494532e+32	0.001578086418	0.001578086418	0.002314788755	0	1
54	2460991.632	2460991.632	2460991.632	1.034476058e+32	0.0004460978431	0.0004460978431	0.002314788755	0	3
55	2460991.65	2460991.65	2460991.65	1.086158272e+32	0.0004683848006	0.0004683848006	0.002314788755	0	3
56	2460991.683	2460991.683	2460991.683	1.19722256e+32	0.0005162791324	0.0005162791324	0.002314788755	0	3
57	2460991.718	2460991.718	2460991.718	1.002235027e+32	0.0004321945205	0.0004321945205	0.002314788755	0	3
58	2460991.731	2460991.731	2460991.731	5.731779008e+32	0.00247171912	0.00247171912	0.002314788755	0	1
59	2460991.843	2460991.843	2460991.843	1.478330142e+32	0.0006375013539	0.0006375013539	0.002314788755	0	3
60	2460991.866	2460991.866	2460991.866	1.642069205e+32	0.000708110666	0.000708110666	0.002314788755	0	3
61	2460991.898	2460991.898	2460991.898	1.262751904e+32	0.0005445373976	0.0005445373976	0.002314788755	0	3
62	2460991.917	2460991.917	2460991.917	9.862731977e+31	0.0004253112895	0.0004253112895	0.002314788755	0	3
63	2460991.968	2460991.968	2460991.968	3.153044026e+32	0.001359689408	0.001359689408	0.002314788755	0	1
64	2460992.005	2460992.005	2460992.005	9.863269783e+31	0.0004253344813	0.0004253344813	0.002314788755	0	3
65	2460992.157	2460992.157	2460992.157	9.491094833e+31	0.0004092851546	0.0004092851546	0.002314788755	0	3
66	2460992.192	2460992.192	2460992.192	1.204926731e+32	0.0005196014076	0.0005196014076	0.002314788755	0	3
67	2460992.218	2460992.215	2460992.218	3.48331664e+32	0.001072541926	0.001502113101	0.004629595205	0	2
68	2460992.222	2460992.222	2460992.222	1.235408828e+32	0.0005327462239	0.0005327462239	0.002314788755	0	3
69	2460992.252	2460992.252	2460992.252	1.03341791e+32	0.0004456415373	0.0004456415373	0.002314788755	0	3
70	2460992.285	2460992.28	2460992.299	5.610981252e+33	0.007358185349	0.02419627419	0.02083324222	0.004629613366	0
71	2460992.435	2460992.435	2460992.435	1.067854678e+32	0.0004604917291	0.0004604917291	0.002314788755	0	3
72	2460992.676	2460992.676	2460992.676	1.944553797e+32	0.0008385513109	0.0008385513109	0.002314788755	0	3
73	2460992.789	2460992.789	2460992.794	1.802210225e+33	0.004458106774	0.007771683914	0.006944401655	0.00231480645	0
74	2460992.801	2460992.801	2460992.801	9.652510691e+31	0.000416245902	0.000416245902	0.002314788755	0	3
75	2460993.005	2460993.005	2460993.007	2.722583785e+32	0.0007248960837	0.001174061733	0.00462959474	0.002314805984	2
76	2460993.025	2460993.025	2460993.025	2.822868211e+32	0.001217307457	0.001217307457	0.002314788755	0	1
77	2460993.19	2460993.19	2460993.192	3.578209619e+32	0.001084144752	0.001543033868	0.00462959474	0.002314805984	2
78	2460993.22	2460993.22	2460993.22	9.46483767e+31	0.0004081528651	0.0004081528651	0.002314788755	0	3
79	2460993.363	2460993.363	2460993.363	1.638467091e+32	0.0007065573239	0.0007065573239	0.002314788755	0	3
80	2460993.398	2460993.398	2460993.398	1.376430072e+32	0.0005935589148	0.0005935589148	0.002314788755	0	3
81	2460993.454	2460993.454	2460993.454	1.257284816e+32	0.0005421798216	0.0005421798216	0.002314788755	0	3
82	2460993.553	2460993.551	2460993.553	3.616410513e+32	0.0008594798479	0.001559507266	0.004629594274	0	2
83	2460993.648	2460993.648	2460993.648	2.177829718e+32	0.0009391470515	0.0009391470515	0.002314788755	0	3
84	2460993.757	2460993.757	2460993.757	1.219825117e+32	0.0005260260491	0.0005260260491	0.002314788755	0	3
85	2460994.174	2460994.174	2460994.176	3.241245642e+32	0.0009472347181	0.001397724654	0.004629593343	0.002314804588	2
86	2460994.271	2460994.271	2460994.271	1.485002526e+32	0.0006403786907	0.0006403786907	0.002314788755	0	3
87	2460994.294	2460994.294	2460994.294	1.084940932e+32	0.0004678598463	0.0004678598463	0.002314788755	0	3
88	2460994.31	2460994.31	2460994.31	2.196986258e+32	0.0009474079397	0.0009474079397	0.002314788755	0	3
89	2460994.315	2460994.315	2460994.315	1.537946188e+32	0.0006632096238	0.0006632096238	0.002314788755	0	3
90	2460994.491	2460994.491	2460994.491	1.261975674e+32	0.0005442026635	0.0005442026635	0.002314788755	0	3
91	2460994.544	2460994.544	2460994.544	1.090253922e+32	0.0004701509709	0.0004701509709	0.002314788755	0	3
92	2460994.567	2460994.567	2460994.567	1.131434848e+32	0.0004879094508	0.0004879094508	0.002314788755	0	3
93	2460994.611	2460994.611	2460994.616	4.319753394e+32	0.0006636155661	0.001862810315	0.006944397464	0.004629608709	2
94	2460994.646	2460994.643	2460994.648	1.195173319e+33	0.002576297407	0.005153954365	0.006944396999	0.002314804122	0
95	2460994.671	2460994.671	2460994.671	1.236475575e+32	0.0005332062377	0.0005332062377	0.002314788755	0	3
96	2460994.711	2460994.711	2460994.713	3.940477277e+32	0.0008844527099	0.001699254807	0.004629592877	0.002314804122	2
97	2460994.931	2460994.931	2460994.931	1.01565441e+32	0.0004379813706	0.0004379813706	0.002314788755	0	3
98	2460995.106	2460995.106	2460995.106	9.241237687e+31	0.0003985105472	0.0003985105472	0.002314788755	0	3
99	2460995.426	2460995.426	2460995.426	1.192018341e+32	0.0005140349131	0.0005140349131	0.002314788755	0	3
100	2460995.604	2460995.604	2460995.604	9.449958692e+31	0.0004075112378	0.0004075112378	0.002314788755	0	3
101	2460995.854	2460995.854	2460995.854	9.822673469e+31	0.0004235838436	0.0004235838436	0.002314788755	0	3
102	2460995.991	2460995.991	2460995.991	9.543972941e+31	0.000411565421	0.000411565421	0.002314788755	0	3
103	2460996.03	2460996.03	2460996.03	1.155633567e+32	0.0004983446816	0.0004983446816	0.002314788755	0	3
104	2460996.088	2460996.086	2460996.09	5.815560033e+32	0.001145075424	0.002507848071	0.006944392808	0.002314801794	2
105	2460996.132	2460996.132	2460996.132	1.027373928e+32	0.0004430351866	0.0004430351866	0.002314788755	0	3
106	2460996.167	2460996.16	2460996.197	3.96354286e+34	0.0217264662	0.1709201394	0.03935161512	0.01388880983	0
107	2460996.308	2460996.308	2460996.31	2.10822438e+32	0.0004620752433	0.0009091310924	0.004629590083	0.002314801328	2
108	2460996.352	2460996.352	2460996.352	1.192192914e+32	0.0005141101946	0.0005141101946	0.002314788755	0	3
109	2460996.493	2460996.493	2460996.493	9.479031864e+31	0.0004087649623	0.0004087649623	0.002314788755	0	3
110	2460996.738	2460996.736	2460996.743	7.109289521e+32	0.0009289828521	0.003065743954	0.00925919041	0.004629601259	2
111	2460997.002	2460997.002	2460997.002	1.152784808e+32	0.0004971162092	0.0004971162092	0.002314788755	0	3
112	2460997.081	2460997.081	2460997.081	2.031744825e+32	0.0008761507597	0.0008761507597	0.002314788755	0	3
113	2460997.132	2460997.127	2460997.15	1.075410749e+34	0.009419045999	0.04637501389	0.02546278667	0.009259199258	0
